company,car_model,about_car,price,offer,previous_price,downpayment,EMI
2018 Hyundai Verna1.6 CRDI SX + AT Automatic,1.6 CRDI SX + AT Automatic,"12,729 km1st OwnerDiesel","₹1,075,099"," ₹47,000 OFF","₹1,122,099",Zero downpayment,"₹23,915/month"
2017 Maruti Alto K10VXI OPT Manual,VXI OPT Manual,"55,116 km1st OwnerPetrol","₹321,699"," ₹5,000 OFF","₹326,699",Zero downpayment,"₹7,156/month"
2017 Ford Ecosport1.5TITANIUM TDCI Manual,1.5TITANIUM TDCI Manual,"66,188 km1st OwnerDiesel","₹646,099"," ₹22,000 OFF","₹668,099",Zero downpayment,"₹14,372/month"
2016 Volkswagen PoloGT TSI 1.2 PETROL AT Automatic,GT TSI 1.2 PETROL AT Automatic,"48,730 km2nd OwnerPetrol","₹602,099"," ₹27,000 OFF","₹629,099",Zero downpayment,"₹13,393/month"
2014 Hyundai i10SPORTZ 1.1 IRDE2 Manual,SPORTZ 1.1 IRDE2 Manual,"63,456 km1st OwnerPetrol","₹338,499"," ₹20,000 OFF","₹358,499",Zero downpayment,"₹7,530/month"
2017 Hyundai i20 Active1.2 SX Manual,1.2 SX Manual,"12,910 km1st OwnerPetrol","₹620,799"," ₹31,000 OFF","₹651,799",Zero downpayment,"₹13,809/month"
2016 Hyundai Grand i10SPORTS 1.2 VTVT Manual,SPORTS 1.2 VTVT Manual,"15,650 km1st OwnerPetrol","₹478,599"," ₹26,000 OFF","₹504,599",Zero downpayment,"₹10,646/month"
2020 Hyundai VENUE1.0 TURBO GDI SX+ AT Automatic,1.0 TURBO GDI SX+ AT Automatic,"21,526 km1st OwnerPetrol","₹1,160,199"," ₹11,000 OFF","₹1,171,199",Zero downpayment,"₹25,808/month"
2018 Mahindra TUV300T 10 MT Dual Tone Manual,T 10 MT Dual Tone Manual,"29,735 km2nd OwnerDiesel","₹777,599"," ₹17,000 OFF","₹794,599",Zero downpayment,"₹17,297/month"
2017 Maruti Vitara BrezzaZDI Manual,ZDI Manual,"47,948 km1st OwnerDiesel","₹714,899"," ₹38,000 OFF","₹752,899",Zero downpayment,"₹15,903/month"
2014 Hyundai Grand i10MAGNA 1.2 KAPPA VTVT Manual,MAGNA 1.2 KAPPA VTVT Manual,"19,399 km1st OwnerPetrol","₹387,099"," ₹44,000 OFF","₹431,099",Zero downpayment,"₹8,611/month"
